Detector	OV	Run	Day	Tauslow
SiPM0	4	12	1	9.72E-07
SiPM1	4	12	1	9.95E-07
PMT	1200	12	1	9.97E-07
SiPM0	4	13	1	9.74E-07
SiPM1	4	13	1	9.87E-07
PMT	1300	13	1	1.02E-06
SiPM0	4	14	1	9.86E-07
SiPM1	4	14	1	9.81E-07
PMT	1400	14	1	1.05E-06
SiPM0	4	35	2	9.44E-07
SiPM1	4	35	2	9.66E-07
PMT	1200	35	2	9.87E-07
SiPM0	4	36	2	9.54E-07
SiPM1	4	36	2	9.63E-07
PMT	1300	36	2	1.01E-06
SiPM0	4	37	2	9.50E-07
SiPM1	4	37	2	9.59E-07
PMT	1400	37	2	1.03E-06
SiPM0	4	78	3	9.32E-07
SiPM1	4	78	3	9.70E-07
PMT	1200	78	3	9.75E-07
SiPM0	4	79	3	9.51E-07
SiPM1	4	79	3	9.55E-07
PMT	1300	79	3	9.88E-07
SiPM0	4	80	3	9.63E-07
SiPM1	4	80	3	9.62E-07
PMT	1400	80	3	1.01E-06

