Detector	Run	Tauslow
SiPM#289	1	6.62E-07
SiPM#290	1	6.51E-07
SiPM#377	1	6.33E-07
SiPM#378	1	6.29E-07
SiPM#289	2	6.30E-07
SiPM#290	2	6.42E-07
SiPM#377	2	6.24E-07
SiPM#378	2	6.17E-07
SiPM#289	3	5.84E-07
SiPM#290	3	5.61E-07
SiPM#377	3	5.61E-07
SiPM#378	3	5.48E-07
SiPM#289	4	2.31E-07
SiPM#290	4	2.19E-07
SiPM#377	4	2.21E-07
SiPM#378	4	2.42E-07
SiPM#289	5	2.34E-07
SiPM#290	5	2.43E-07
SiPM#377	5	2.43E-07
SiPM#378	5	2.29E-07
SiPM#289	6	2.35E-07
SiPM#290	6	2.24E-07
SiPM#377	6	2.38E-07
SiPM#378	6	2.15E-07

