Detector	Day	Run	Ch	Tauslow	PE
SiPM#289	1	0	0	9.58E-07	16.71
SiPM#290	1	0	1	9.62E-07	15.98
SiPM#377	1	0	3	9.57E-07	15.61
SiPM#378	1	0	4	9.48E-07	16.47
SiPM#289	1	3	0	9.53E-07	16.68
SiPM#290	1	3	1	9.45E-07	16.01
SiPM#377	1	3	3	9.49E-07	15.57
SiPM#378	1	3	4	9.48E-07	16.44
SiPM#289	1	5	0	9.48E-07	16.84
SiPM#290	1	5	1	9.64E-07	16.00
SiPM#377	1	5	3	9.48E-07	15.64
SiPM#378	1	5	4	9.71E-07	16.53
SiPM#289	2	11	0	9.36E-07	17.01
SiPM#290	2	11	1	9.19E-07	16.34
SiPM#377	2	11	3	9.11E-07	15.72
SiPM#378	2	11	4	9.16E-07	16.58
SiPM#289	2	13	0	9.21E-07	17.01
SiPM#290	2	13	1	9.11E-07	16.12
SiPM#377	2	13	3	9.04E-07	15.70
SiPM#378	2	13	4	9.16E-07	16.52
SiPM#289	2	15	0	9.06E-07	16.95
SiPM#290	2	15	1	9.17E-07	16.10
SiPM#377	2	15	3	9.12E-07	15.59
SiPM#378	2	15	4	9.37E-07	16.40
SiPM#289	2	33	0	9.00E-07	16.79
SiPM#290	2	33	1	8.91E-07	15.98
SiPM#377	2	33	3	8.86E-07	15.48
SiPM#378	2	33	4	8.88E-07	16.32
SiPM#289	2	35	0	8.92E-07	16.87
SiPM#290	2	35	1	9.02E-07	16.10
SiPM#377	2	35	3	9.17E-07	15.50
SiPM#378	2	35	4	9.08E-07	16.42
SiPM#289	2	37	0	8.86E-07	16.87
SiPM#290	2	37	1	8.91E-07	16.09
SiPM#377	2	37	3	8.80E-07	15.58
SiPM#378	2	37	4	9.09E-07	16.45
SiPM#289	3	51	0	8.08E-07	16.36
SiPM#290	3	51	1	8.38E-07	15.67
SiPM#377	3	51	3	8.21E-07	15.11
SiPM#378	3	51	4	8.44E-07	15.99
SiPM#289	3	52	0	8.41E-07	16.35
SiPM#290	3	52	1	8.15E-07	15.58
SiPM#377	3	52	3	8.16E-07	15.12
SiPM#378	3	52	4	8.32E-07	15.93
SiPM#289	3	53	0	8.22E-07	16.47
SiPM#290	3	53	1	8.16E-07	15.70
SiPM#377	3	53	3	7.96E-07	15.21
SiPM#378	3	53	4	8.15E-07	16.11
