FECHA	HORA	T1_LN2(C)	T2_LN2(C)	T3_LN2(C)	T4_LN2(C)	T1_LAr(C)	T2_LAr(C)	T3_LAr(C)	T4_LAr(C)	T.Elect(C)	F_LN2.O(L/Min)	P_LN2.O(Bar)	T_LN2.O(C)	P_LN2(Bar)	P_LAr(Bar)	N.LN2_M(Cm)	N.LN2_L(Cm)	N_Max(Cm)	N_Min(Cm)	P_Alarm(Bar)	P_Max(Bar)	P_Min(Bar)	LN2.Max(C)	T_LAr	T_Bucle(S)	Llenado	AlivioLento	AlivioRapido
26/07/2022	14:29:25	-183.844	-144.425	-99.657	-34.976	-177.196	-152.183	-148.050	-151.337	20.000	1.57	3.300	35.500	-2.406	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:27	-183.841	-144.425	-99.657	-34.976	-177.196	-152.184	-148.051	-151.338	20.000	1.53	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:29	-183.846	-144.425	-99.658	-34.976	-177.196	-152.184	-148.052	-151.338	20.000	1.56	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:32	-183.845	-144.425	-99.659	-34.977	-177.197	-152.182	-148.050	-151.336	20.000	1.55	3.298	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:34	-183.847	-144.425	-99.659	-34.977	-177.196	-152.182	-148.052	-151.337	20.000	1.53	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:36	-183.850	-144.425	-99.660	-34.977	-177.196	-152.183	-148.050	-151.337	20.000	1.52	3.298	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:38	-183.848	-144.425	-99.660	-34.977	-177.197	-152.184	-148.051	-151.337	20.000	1.57	3.300	35.500	3.312	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:40	-183.846	-144.425	-99.660	-34.977	-177.195	-152.183	-148.050	-151.337	20.000	1.55	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:42	-183.857	-144.425	-99.661	-34.977	-177.197	-152.181	-148.051	-151.337	20.000	1.54	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:44	-183.863	-144.425	-99.661	-34.977	-177.197	-152.183	-148.051	-151.338	20.000	1.56	3.300	35.500	3.312	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:46	-183.861	-144.426	-99.661	-34.977	-177.196	-152.183	-148.051	-151.338	20.000	1.55	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:48	-183.854	-144.425	-99.662	-34.978	-177.195	-152.182	-148.052	-151.339	20.000	1.53	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:50	-183.854	-144.426	-99.663	-34.978	-177.195	-152.183	-148.052	-151.339	20.000	1.53	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:52	-183.874	-144.425	-99.663	-34.978	-177.195	-152.182	-148.052	-151.338	20.000	1.54	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:54	-183.847	-144.426	-99.664	-34.978	-177.194	-152.182	-148.052	-151.339	20.000	1.57	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:56	-183.839	-144.426	-99.664	-34.978	-177.195	-152.182	-148.052	-151.337	20.000	1.58	3.300	35.500	3.304	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:29:58	-183.840	-144.426	-99.664	-34.978	-177.194	-152.182	-148.053	-151.337	20.000	1.50	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:00	-183.842	-144.426	-99.665	-34.978	-177.195	-152.184	-148.051	-151.339	20.000	1.55	3.300	35.400	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:02	-183.842	-144.426	-99.665	-34.978	-177.193	-152.184	-148.051	-151.338	20.000	1.58	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:04	-183.842	-144.426	-99.665	-34.978	-177.194	-152.183	-148.052	-151.337	20.000	1.54	3.298	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:06	-183.844	-144.426	-99.666	-34.978	-177.194	-152.181	-148.052	-151.336	20.000	1.55	3.300	35.400	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:08	-183.843	-144.426	-99.667	-34.978	-177.195	-152.183	-148.053	-151.338	20.000	1.54	3.300	35.500	3.312	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:10	-183.844	-144.427	-99.667	-34.978	-177.192	-152.183	-148.053	-151.337	20.000	1.58	3.300	35.400	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:12	-183.848	-144.427	-99.667	-34.978	-177.194	-152.183	-148.052	-151.336	20.000	1.54	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:14	-183.848	-144.427	-99.668	-34.978	-177.194	-152.183	-148.051	-151.338	20.000	1.57	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:16	-183.849	-144.427	-99.668	-34.979	-177.191	-152.183	-148.052	-151.339	20.000	1.55	3.298	35.500	3.312	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:18	-183.844	-144.427	-99.669	-34.979	-177.192	-152.183	-148.052	-151.338	20.000	1.58	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:20	-183.845	-144.427	-99.669	-34.979	-177.193	-152.182	-148.052	-151.339	20.000	1.54	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:22	-183.846	-144.427	-99.670	-34.979	-177.193	-152.182	-148.052	-151.340	20.000	1.53	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:24	-183.849	-144.427	-99.670	-34.978	-177.193	-152.183	-148.053	-151.338	20.000	1.56	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:26	-183.850	-144.427	-99.670	-34.979	-177.193	-152.182	-148.053	-151.338	20.000	1.56	3.298	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:28	-183.846	-144.428	-99.671	-34.979	-177.194	-152.185	-148.053	-151.339	20.000	1.52	3.300	35.500	3.335	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:30	-183.850	-144.428	-99.671	-34.979	-177.193	-152.182	-148.052	-151.338	20.000	1.53	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:32	-183.849	-144.428	-99.671	-34.979	-177.192	-152.182	-148.054	-151.338	20.000	1.55	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:34	-183.851	-144.427	-99.672	-34.979	-177.193	-152.182	-148.053	-151.338	20.000	1.55	3.298	35.500	3.351	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:36	-183.843	-144.428	-99.672	-34.979	-177.192	-152.182	-148.053	-151.338	20.000	1.53	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:38	-183.847	-144.428	-99.673	-34.979	-177.192	-152.184	-148.053	-151.338	20.000	1.54	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:40	-183.850	-144.428	-99.674	-34.979	-177.191	-152.183	-148.053	-151.337	20.000	1.54	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:42	-183.841	-144.428	-99.674	-34.979	-177.191	-152.183	-148.055	-151.336	20.000	1.53	3.300	35.500	3.328	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:44	-183.845	-144.428	-99.674	-34.980	-177.193	-152.184	-148.054	-151.336	20.000	1.53	3.300	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
26/07/2022	14:30:46	-183.849	-144.428	-99.675	-34.980	-177.192	-152.184	-148.053	-151.337	20.000	1.53	3.298	35.500	3.320	1.220	0.000	0.000	31.000	0.500	3.750	3.650	3.600	-180.000	-183.500	1.000	CLOSE	CLOSE	CLOSE
